Index,Sentences,Sentiment
13,ဂျော်ဒန် ၊ ကတ်ဘွရှ် ၊ မက်ကန်ဆက် နှင့် ဘာတွန် ထိပ်ဆုံးရှစ်ဦး အမှတ် နေရာများ မှာ လိုက်နေပါတယ် ။,Positive
14,ဗိုလ် ပေါလု ဗာနွန် က ၊ “ ဒီ တိုက်ခိုက်မှု တွင် လူအများ ထိခိုက်ဒဏ်ရာ မရခဲ့တာ က ကျွန်တော်တို့ ကံကောင်းတယ် ” ဟု ပြောခဲ့သည် ။,Positive
15,ဂရက် ဘစ်ဖဲ ဟာ ဒဿမနေရာ ကို ကျရောက်ခဲ့ သောကြောင့် စတိဝါဒ် ဟာ ဒုတိယပွဲ ပြီးဆုံး ပြီးနောက် နေရာ တစ်ခု တက်သွား ပြီး နဝမ နေရာ ရောက်ရှိပါတယ် ။,Positive
16,မားခ် မာတင် နှင့် ကားလ် အတ်ဝါဒ်စ် တို့ ဟာ ထိပ်ဆုံး ဆယ့်နှစ်ဦး ပတ်လည်မှာရှိ ပြီး လက်ရှိ ပြိုင်ကွင်း ထဲမှာ ရှိနေပါတယ် ။,Positive
17,ရန့်ဝစ်(ခ်) ကို ပိတ်ထားခဲ့ ပြီး ၂လ အထိ ကြာကြာ ဆက်လက်ထိမ်းသိမ်းထား ရန် မျှော်လင့်ပါတယ် ။,Negative
18,တုတ်ကွေး သည် အလွန် အလွယ်တကူ ကူးစက် သော်လည်း လူသားများ သို့ မထုတ်လွှင့်နိုင်ပါ ။,Positive
19,ဒီ စနေ တနင်္ဂနွေ မှာ အန်အက်(စ်)ဒဗလျူ နှင့် ကွင်း(စ်)လန်း(ဒ်) မှလွဲ၍ သြစတေးလျတိုက် ပြည်နယ်များ အားလုံး တွင် မြင်းပွဲ ပြန်စ ဖို့ မျှော်လင့်ပါတယ် ။,Positive
20,ဆစ်ဒနီ ရဲ့ နွေဦးရာသီ မြင်းပွဲ ဖွင့်ပွဲ ကို ဖျက်သိမ်း လိုက်စဉ်တွင် မဲ(လ်)ဘိုနီ ရဲ့ ပွဲ ကို ဒီ စနေ တနင်္ဂနွေ တွင် ကော့ဖီး(လ်) ဖလားပွဲ နှင့် စတင် ရန် မျှော်လင့်ပါတယ် ။,Positive
21,ဗိုင်းရပ်(စ်) ကင်းစင်တဲ့ ပြည်နယ် အဖြစ် ထားရှိ ဖို့ ကြိုးပမ်း ရန် ဒေသမှာ အထူး ကြိုတင်ကာကွယ်မှုများ နဲ့ ဖလားပွဲ ကို ကျင်းပသွားလိမ့်မယ် ။,Positive
22,သြစတေးလျ မြင်းပွဲ မှာ အကြီးမားဆုံး နာမည်များ မှ အချို့ ပျောက်သွား သော်လည်း မဲ(လ်)ဘိုနီ ရဲ့ နွေဦးရာသီ ပွဲတော် ဟာ အဓိကအားဖြင့် ပကတိအတိုင်း ဆက်လက် တည်ရှိနေ လိမ့်မယ်လို့ စိုက်ပျိုးရေး ဗဟိုအစိုးရ ဝန်ကြီး ပီတာ မက်ဂေါ်ရန် က ပြောခဲ့ပါတယ်။,Positive
23,ထို့အပြင် ကားရပ်နား နေရာများ နှင့် ဝင်ပေါက်များ တွင် လည်း သံသယဖြစ်ဖွယ် လှုပ်ရှားမှုများ အတွက် အနီးကပ် စောင့်ကြည့် နေ လိမ့်မည် ။,Positive
24,အန်အက်ဖ်အယ်လ် မှ ကြော်ငြာချက် တစ်ခု ကို ထုတ်ပြန်ခဲ့ပြီး ထိုထုတ်ပြန်ချက်မှာ အားကစားကွင်းများ ကို လုံခြုံရေး အစီအမံ များ ဖြင့် နေရာများတွင် ကောင်းစွာ ကာကွယ် ထားပြီး ဖြစ်သည် ဟူ၍ ဖြစ်သည်။,Positive
25,အစိုးရ အတွက် ပြင်ဆင်ခြင်း ကော်မတီ လို့ အမည်ရတဲ့ ကော်မတီ ဟာ ၊ သူ့ရဲ့ ပထမဆုံး တာဝန် ဖြစ်တဲ့ ကော်မတီ အတွက် ဥက္ကဋ္ဌ ရွေးချယ်ခြင်း ကို စတင် ဖို့ တနင်္လာနေ့ မှာ ခေါ်ယူခဲ့ပါတယ် ။,Positive
26,ကော်မတီ ဟာ ရီပါဘလီကန် ပါတီ နှစ်ခု ( စင်းဖိန် နဲ့ အက်စ်ဒီအယ်လ်ပီ ) ၊ ယူနီယန်နစ်စ် ပါတီ နှစ်ခု ( ဒီယူပီ နဲ့ ယူယူပီ ) နဲ့ လူမျိုးမခွဲ မဟာမိတ် ပါတီ တို့ဖြင့် ဖွဲ့စည်းထားပါသည် ။,Positive
27,အဇမ်ဘလီ ရဲ့ ပြောခွင့်ရပုဂ္ဂိုလ် အီလီယံ ဘဲလ် က ဥက္ကဋ္ဌ ဖြစ်သင့်တယ် လို့ ဒီယူပီ က အဆိုပြုခဲ့ပါတယ် ။,Positive
28,နိုဝင်ဘာ ၂၄ နောက်ဆုံးရက် ကို နှစ်ပတ် တိုးပေး ဖို့ လန် ပေ့စ်လေ က ၊ တနင်္လာနေ့ မှာ တောင်းဆိုခဲ့ပါတယ်,Positive
29,အိုင်အာအေ သူလျှို အဖွဲ့ ရဲ့ စွပ်စွဲမှု ကြောင့် ၂၀၀၂ အောက်တိုဘာ မှာ ရပ်နားထားတဲ့ သူ့ရဲ့ အဇမ်ဘလီ အပြီးမှာ ဒါက ဗြိတိသျှ ဝန်ကြီးချုပ် တိုနီဘလဲ နဲ့ အိုင်ယာလန် ဝန်ကြီးချုပ် ဘာတီ အာဟန်း ရဲ့ မြောက်ပိုင်း အိုင်ယာလန် မှာ အာဏာခွဲဝေရေး အစိုးရ တစ်ခု တည်ထောင် ဖို့ အစီအစဉ် ရဲ့ တစ်စိတ်တစ်ပိုင်း ဖြစ်တယ်,Positive
30,တကယ်လို့ အာဏာခွဲဝေရေး အစိုးရ အတွက် အစီအစဉ် တစ်ခု က နိုဝင်ဘာ ၂၄ အထိ မပြင်ဆင်ခဲ့ ရင် ၊ အိုင်ယာလန် သမ္မတနိုင်ငံ ဆီက ပိုကြီးတဲ့ အင်အား နဲ့ လန်ဒန် ကနေ တိုက်ရိုက် ဆက်လက် အုပ်ချုပ်မယ် ။,Positive
31,"တကယ်လို့ အက်ပဲလ် က မက် အိုအက်စ် ကို တခြားသူတွေကို ဖွင့်ပေး ဖို့ ဆုံးဖြတ် ရင် ၊ ကျွန်တော်တို့ရဲ့ ဖောက်သည်တွေ ကို ဒါကို ကမ်းလှမ်း ဖို့ ကျွန်တော်တို့က ပျော်ရွှင်မိမှာပါ ၊ "" လို့ ကစ်ပက်ထရစ်ဆီကို အီးမေးလ် ထဲမှာ ဒဲလ် က ရေးခဲ့ပါတယ်",Positive
32,အမေရိကန်ပြည်ထောင်စု ဂျော်ဂျီယာပြည်နယ် တွင် လူနှစ်ယောက် သည် “ ဒဏ္ဍာရီလာ မျောက်ဝံလူဝံများ ” ကို အမဲလိုက်သောမုဆိုး ဖြစ်ရန် အခိုင်အမာဆိုနေ ပြီး ယခုလ အစောပိုင်း ၌ ဒဏ္ဍာရီလာသတ္တဝါ များ ၏ အကြွင်းအကျန်များ ကို တွေ့ရှိထားသည်ဟု ဆိုနေခြင်း မှာ အသေးစိတ် စီစဉ်ပြင်ဆင်ထားသော လှည့်ကွက် တစိတ်တပိုင်း သာ ဖြစ်သည်ဟု သုတေသီများက ဆိုသည်။,Positive
33,ဒဏ္ဍာရီလာသတ္တဝါ တစ်ကောင် ၏ အလောင်း ဟု ယူဆရသော အရာ ကို ၄င်းတို့ ရှာနေ ချိန်တွင် ဂျော်ဂျီယာ အရှေ့မြောက်ပိုင်း သစ်တော ၌ သတ္တဝါများ အတွက် သူတို့ အမဲလိုက်ခဲ့ခြင်း ဖြစ်သည်ဟု ဒဏ္ဍာရီလာ မျောက်ဝံလူဝံများ ကို အမဲလိုက်သောမုဆိုး များ ဖြစ်ကြသည့် မတ်ဝှစ်တွန် နှင့် ရစ်က်ဒရာ တို့ မှ ၂၀၀၈ခုနှစ် ၊ သြဂုတ်လ ၁၅ရက်နေ့ တွင် အတည်တကျပြောဆို ရေးသားခဲ့သည်,Positive
34,နယူး ဟမ့်ရှား ကား ပြေးလမ်း မှာ ၂၀၁၀ လန်းနော့ အင်ဒတ်စ်ထရီရယ် တူး ၃၀၁ အတွင်း တနင်္ဂနွေနေ့ မှာ နက်စ်ကာ တာတို ဖလား ပွဲစဉ် ဒရိုင်ဘာ ဂျင်မီ ဂျွန်ဆန် ဟာ ပြိုင်ပွဲရာသီ ၏ သူရဲ့ ဒုတိယ ဆက်တိုက် ပြိုင်ပွဲ မှာ အနိုင်ရခဲ့ပါတယ် ။,Positive
35,ယူအက်စ် ရဲ့ ရှေ့ဆောင် အတတ်ပညာဆိုင်ရာ စတော့ ကား ပွဲစဉ် ၏ ၂၀၁၀ ပွဲ မှာ သူရဲ့ ငါးကြိမ်မြောက် အောင်ပွဲ ဖြစ်ပြီး အများဆုံး အောင်ပွဲတွေ အတွက် သူ့ကို ဒန်နီ ဟမ်လင် နဲ့ အဆင့်တူသွားစေပါတယ် ။,Positive
36,ဂျော်ဒန် ၊ ကတ်ဘွရှ် ၊ မက်ကန်ဆက် နှင့် ဘာတွန် ထိပ်ဆုံးရှစ်ဦး အမှတ် နေရာများ မှာ လိုက်နေပါတယ် ။,Positive
37,ဂရက် ဘစ်ဖဲ ဟာ ဒဿမနေရာ ကို ကျရောက်ခဲ့ သောကြောင့် စတိဝါဒ် ဟာ ဒုတိယပွဲ ပြီးဆုံး ပြီးနောက် နေရာ တစ်ခု တက်သွား ပြီး နဝမ နေရာ ရောက်ရှိပါတယ် ။,Positive
38,မားခ် မာတင် နှင့် ကားလ် အတ်ဝါဒ်စ် တို့ ဟာ ထိပ်ဆုံး ဆယ့်နှစ်ဦး ပတ်လည်မှာရှိ ပြီး လက်ရှိ ပြိုင်ကွင်း ထဲမှာ ရှိနေပါတယ် ။,Positive
40,အဆိုပါ မဲဆန္ဒနယ် ၏ များစွာသော မတူကွဲပြားမှု က အိမ်ထောင်စုများ အားလုံး ၏ တစ်ဝက် ထက် နည်းသော ပမာဏ က အိမ် သုံး ပထမ ဘာသာစကား ကို အင်္ဂလိပ်ဘာသာ အဖြစ် တင်ပြထားသည် ဟု ပါရှိသည်။,Positive
41,အီမာဆန် က သူ တတိယ သက်တမ်း အတွက် ကြိုးစား လိမ့်မည် မဟုတ်ဟု ကြေငြာ ပြီးနောက် ဤ ကွဲပြားမှု ကို ကိုးကားဖော်ပြခဲ့သည် ။,Positive
42,တကယ်တမ်း က ၊ ကင်းစဝေး သည် အလွန် အနိုင်ရနိုင်တဲ့ နေရာ ဖြစ်ပါတယ် ၊ ဟု ကွန်ဆာဗေးတစ် ဝန်ကြီးချုပ် က ပြောကြားခဲ့ပါသည် ။,Positive
43,ကျွန်တော် က ကင်းစဝေး မှာ အလွန်တရာ လူကြိုက်များတဲ့ သူတစ်ယောက် ဖြစ်တာ ကြောင့် မဟုတ်ပေမယ့် ၊ မဲ ခွဲပြီး ဦးသူအနိုင်ရ စနစ် အလုပ်လုပ်တဲ့ ပုံစံ ကြောင့်ပါ ။,Positive
44,အဲဒီ မဲ ခွဲရေး တွင် အဓိက မှာ လစ်ဘရယ် နှင့် အန်ဒီပီ ကိုယ်စားလှယ်လောင်း များ ကို ခွဲခြားသည့် ကိစ္စများ ဖြစ်သည်။,Positive
45,ကနေဒါ နိုင်ငံသား ခံယူထားသော ယွမ် က သူမ ကို လူဝင်မှုကြီးကြပ်ရေး က ညှာတာမှု ပေးခြင်း နဲ့ ပြိုင်ပွဲ ရဲ့ တိုင်းရင်းသား ဒေသတွေ ၊ သူမ၏ လူဝင်မှု သမိုင်းကြောင်းကို ဖော်ပြခဲ့သည်။,Positive
46,ကျွန်မ က အကန့်အသတ်ရှိတဲ့ နည်းလမ်းတွေ နဲ့ လာခဲ့တာပါ ဒါပေမယ့် ခက်ခက်ခဲခဲ ကြိုးစား ပြီးတော့ ၊ ကျွန်မ အသိအမှတ်ပြုခဲ့ရ ပြီး အောင်မြင်တဲ့ စီးပွားရေး လုပ်ဆောင်သူ အမျိုးသမီးတစ်ဦး ဖြစ်လာခဲ့ပါတယ်။,Positive
47,နိုင်ငံခြား က ပြောင်းရွှေ့လာသူတွေ ဟာ သူတို့ လိုချင်တာ ရောက် ဖို့ ဘာကို မဖြစ်မနေ ကျော်ဖြတ် ရမယ် ဆိုတာ ကျွန်မ နားလည်ပါတယ် ။,Positive
48,ကျွန်တော်တို့ ဒေသ ရဲ့ ယဉ်ကျေးမှု ပေါင်းစုံ အထည် ကို ကျွန်တော် တကယ် လေးစား ပြီး ကျေနပ် သဘောကျ ပြီး ကြိုက်ပါတယ် ၊ လို့ သူမရဲ့ အန်ဒီပီ ဆန့်ကျင်သူ ဒေးဗစ်စ် က ပြောပါသည် ။,Positive
50,တီးမ်စတား ရဲ့ ရှေ့နေ သည် အစက အက်မွန်တန် က ဖြစ်ပါသည် ၊ သို့သော် ဗန်ကိုဗာ အန်ဗာရွန်းစ် မှာ ၁၉၉၁ ခုနှစ်ကတည်းက နေလာခဲ့ပါသည် ။,Positive
51,ကွန်ဆာဗေးတစ်ပါတီ ကိုယ်စားလှယ်လောင်း ဆော်လမွန် ရေးရတ် သည် သတင်းဌာန များစွာ မှ သတင်းစာ ရှင်းလင်းပွဲ မေးမြန်းမှုများ ကို ဖြေဆိုခဲ့ခြင်း မရှိပေ ၊ ထို့ပြင် မည်သို့ပင်ဆိုစေကာမူ ပါတီ ကိုယ်စားပြု ရွေးချယ်ခံရ နိုင်ချေ နည်းသော ကိုယ်စားလှယ်လောင်း တစ်ဦး - ဆန်ကာတင် ကိုယ်စားလှယ်လောင်း ဥပမာ တစ်ခု အနေဖြင့် ရည်ညွှန်းခံရသည် ။,Negative
53,ကင်းစ်ဝေး ရဲ့ အတွင်း နဲ့ အနီးအနား ပတ်ဝန်းကျင် ကို အသေးစား စီးပွားရေး အခန်းကဏ္ဍ ရဲ့ သဘာဝ အင်အား အပြည့်အဝ ပေါ်မှာ တည်ဆောက် ဖို့ အလွန် ကောင်းတဲ့ နေရာ တစ်ခု အဖြစ် တိုင်းရင်းသား မျိုး နွယ်အရရော စီးပွားရေး အရ ရော ကွဲပြားမှု ရှိတဲ့ လူ့အဖွဲ့အစည်း အတွက် ကျောထောက်နောက်ခံ တစ်ခု အဖြစ် ကျွန်တော် မြင်တယ် ။,Positive
54,အသစ် ရွေးကောက်ခံရတဲ့ လစ်ဘရယ် ဒေ့ဗ် အမ်မာဆန် သည် အောက်ခြေ ကို ဖြတ် ပြီး ကွန်ဆာဗေးတစ် ဝန်ကြီးအဖွဲ့ ဆီကို တိုက်ရိုက် ရောက်ရှိ ၊ ပထမ နိုင်ငံတကာ ကုန်သွယ်ရေး ဝန်ကြီး အဖြစ် ထို့နောက် မက်ဆင်း ဘာနီယာ နှုတ်ထွက် ပြီးနောက် နိုင်ငံခြားရေး ဝန်ကြီး အဖြစ် ဖြစ်လာသောအခါ ၊ ဒီ တိုက်ပွဲ အတွက် ဒီ စင်မြင့် က ၂၀၀၆ ခုနှစ် မှာ တည်ဆောက်ခဲ့ပါသည် ။,Positive
55,အင်္ဂလန်နိုင်ငံ၊ လန်ဒန်မြို့ ၂၀၁၂ နွေရာသီ မသန်မစွမ်းအိုလံပစ် အားကစားပြိုင်ပွဲ စတင်တော့မည်မှာ ရက်သတ္တပတ် တောင် မလိုတော့သည့် အချိန် ၊ ပါပူယာ နယူး ဂျီနီယာ၏ အားကစား ကိုယ်စားလှယ်အဖွဲ့ သည် မိမိနိုင်ငံ၏ ထူးချွန်သော အားကစားသမား နှစ်ယောက်ဖြစ်သည့် ကစားသမား ဖရန်စစ်ကွမ်ပွန် နှင့် အလေးမသမား တီမိုသီဟာရဘီ ကို ပံ့ပိုးပေးရန် ယနေ့ အစောပိုင်းတွင် လန်ဒန်မြို့သို့ ရောက်ရှိခဲ့သည်။,Positive
56,၂ဝဝ၈ခုနှစ် နွေရာသီ မသန်မစွမ်း အားကစားပြိုင်ပွဲ မီတာ ၁၀၀ ပြိုင်ပွဲ ၌ သူ သည် ဒုတိယ ရရှိ သည့် အတွက် ထိုပြိုင်ပွဲတွင် သူ သည် သူ့ နိုင်ငံ ၏ ပထမဆုံး ဆုတံဆိပ်ရှင် အဖြစ် ထိုက်ထိုက်တန်တန် ရရှိ ယှဉ်ပြိုင်ခဲ့ ပြီးနောက် ၊ ပြိုင်ပွဲများသည် ကွမ်ပွန် ၏ ဒုတိယအကြိမ်မြောက် ဖြစ်သည်။,Positive
57,ကစားပွဲများ တွင် သူ၏ နိုင်ငံ အမြဲတမ်း ကိုယ်စားပြု ဆယ်ယောက်မြောက် မျှသာ ဖြစ်သော ၊ ကစားသမား ဟာရဘီ သည် ၊ သူ၏ မသန်မစွမ်းအိုလံပစ် ကစားနည်းများ ကို ပွဲဦးထွက် ကစားနေသည် ။,Positive
58,ဗြိတိန်နိုင်ငံ ကော်မရှင်အဖွဲ့၀င် မဟာမင်းကြီး ဖြစ်သော ၊ ဂျက်ကီ ဘာစန် ၊ အမ်ဘီအီး မှ လည်း ၊ ပါပူယာ နယူး ဂျီနီယာ ကစားသမား နှစ်ဦးလုံး သို့ “ ကမ္ဘာ့ အဆင့်အတန်းမှီ မသန်မစွမ်း ကစားသမား နှစ်ယောက် ဖြင့် ကိုယ်စားပြုထား သဖြင့် ထိုအရာသည် ပီအန်ဂျီ အတွက် ကြီးမားသော အောင်မြင်မှုကြီး တစ်ခု ဖြစ်သည် ၊ ” ဟု စာဖြင့် ရှင်းလင်း ထုတ်ဖော်ပြော ပြီး ၊ ကစားသမား နှစ်ဦးလုံး အား ကောင်းစွာ ဆန္ဒပြုခဲ့သည် ။,Positive
59,ပီအန်ဂျီ မသန်မစွမ်းအိုလံပစ် အားကစားပြိုင်ပွဲ ကော်မတီ ဥက္ကဌ ဘားနက် ချန်း ကလည်း သူ့ နိုင်ငံ ၏ ကစားသမားများ ကို ၊ “ သူတို့ဟာ ပီအန်ဂျီ အတွက် အကောင်းဆုံး သံတမန်များ ဖြစ်လာလိမ့်မယ် ပြီးတော့ ဖရန်စစ် နဲ့ တီမိုသီ နှစ်ယောက်လုံး ဟာ တခြား အားကစားသမားများ ကို ပါ ကြိုးကြိုးစားစား သင်ယူ အောင် လှုံ့ဆော်နိုင် ပြီး ၄င်းတို့ရဲ့ ယှဉ်ပြိုင်နေစဉ် အတောအတွင်း ဒီ မသန်မစွမ်းအိုလံပစ် ပြိုင်ပွဲ အဆင့် မှာ ပီအန်ဂျီ ကိုယ်စားပြု ရန် ကျွန်တော် မျှော်လင့်ပါတယ် ။ “ ဟု ပြောကြားခြင်း ဖြင့် ၊ ဂုဏ်ပြုခဲ့သည် ။,Positive
61,ပါပူယာ နယူး ဂျနီယာ ၏ ၂၀၁၂ မသန်မစွမ်း အိုလံပစ်အားကစား ကိုယ်စားလှယ်အဖွဲ့ တွင် တခြားသော အဖွဲ့၀င်များ အဖြစ် ပီအန်ဂျီ မသန်မစွမ်း အိုလံပစ်အားကစား ကော်မတီ ဥက္ကဌ ဘားနက် ချန်း ၊ ချက်ဖ် ဒီ မစ်ရှင် ဒေါက်တာ ကီဖူ မ ၊ အဖွဲ့ မန်နေဂျာ ရို့စ်မယ်ရီ မွှေး ၊ ဒဗီနာ ချန်း ၊ ဥက္ကဌ ၏ ဇနီး ၊ ကော့ချ် ၀ီလီယမ် အမ်စီကန်နီ ၊ နှင့် ရုံးအရာရှိ ဂျက်ဖရီ ရော်ဘီ တို့ ပါ၀င်ကြသည် ။,Positive
62,အိန္ဒိယနိုင်ငံ ၏ စီးပွားရေး သည် ၂၀၀၆-၂၀၀၇ ဘဏ္ဍာနှစ် ၏ ဒုတိယ လေးလပတ် ( ဇွန်လိုင်-စက်တင်ဘာ ) တွင် ၉.၂ ရာခိုင်နှုန်း ၊ ပြီးခဲ့သော နှစ် ထို တူညီသော လေးလပတ် တွင် ၈.၄ ရာခိုင်နှုန်း တိုးတက်ခဲ့သည် ။,Positive
63,အာရှ ၏ စတုတ္ထ - အကြီးဆုံး စီးပွားရေး ၏ ၊ လေးလပတ် အတွက် တစ်နှစ်တာ တိုးတက်မှုနှုန်း သည် လည်း ၊ နောက်ဆုံး လေးလပတ် ( ဧပြီ-ဇွန် ) ၏ တစ်နှစ်တာ တိုးတက်မှုနှုန်း ထက် ပိုမိုမြင့်မားပြီး ၊ ထိုနှုန်းမှာ ၈.၉ ရာခိုင်နှုန်းထိ ဖြစ်ခဲ့သည်။,Positive
64,အိန္ဒိယ၏ နှစ်စဉ် စီးပွားရေး တိုးတက်နှုန်း သည် လွန်ခဲ့သော ဘဏ္ဍာနှစ် ၃ နှစ် ကတည်းက ပျှမ်းမျှ ၏ ၈ ရာခိုင်နှုန်းအထိ ရှိပြီးဖြစ်သည် ။,Positive
65,ဗဟို စာရင်း အဖွဲ့အစည်း အရ ၊ စစ်မှန်သော နယ်မြေ နှင့် ဆက်သွယ်နိုင်ရေး ကို ဦးတည်သော ၀န်ဆောင်မှုများ သည် လေးလပတ် တွင် မျှော်လင့်မထားသော တိုးတက်မှု ၁၃.၉ ရာခိုင်နှုန်းအထိ ရှိခဲ့သည်ဟု မှတ်တမ်းတင်ခဲ့သည် ။,Positive
66,ဂျီဒီပီ ၁၇ ရာခိုင်နှုန်း ပံ့ပိုးသော ၊ ထုတ်လုပ်မှု အပိုင်းကဏ္ဍ အား ၊ လွန်ခဲ့သော နှစ် ၏ ၁၁.၃ ရာခိုင်နှုန်း နှင့် နှိုင်းယှဉ်လျှင် ထို တူညီသော လေးလပတ် အတွက် တိုးတက်နှုန်း ၁၁.၉ ရာခိုင်နှုန်း ဖြစ်သည်ဟု မှတ်တမ်းတင်ခဲ့သည် ။,Positive
